"global_step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MAX","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MAX"
"21504000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","0.9734375","0.9658203125","0.978515625","","","","","",""
"22528000","","","","","","","","","","","","","","","","","","","17","17","17","0.98349609375","0.97998046875","0.98828125","","","","","","","32","32","32","0.9748046875","0.9697265625","0.9794921875","","","","","",""
"24576000","6","6","6","0.99088134765625","0.9884033203125","0.9920654296875","6","6","6","0.9911865234375","0.990478515625","0.992919921875","6","6","6","0.990966796875","0.9893798828125","0.992919921875","18","18","18","0.98369140625","0.9794921875","0.98974609375","10","10","10","0.987255859375","0.98583984375","0.989990234375","35","35","35","0.9677734375","0.958984375","0.9794921875","6","6","6","0.98934326171875","0.9852294921875","0.9903564453125"
"25600000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","0.9580078125","0.94140625","0.970703125","","","","","",""
"26624000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","0.958203125","0.9462890625","0.9775390625","","","","","",""
"27648000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","0.94765625","0.927734375","0.9755859375","","","","","",""
"28672000","","","","","","","","","","","","","","","","","","","21","21","21","0.98046875","0.97265625","0.99169921875","11","11","11","0.985693359375","0.980712890625","0.988525390625","40","40","40","0.9490234375","0.9248046875","0.9755859375","","","","","",""
"29696000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","0.9396484375","0.9208984375","0.9755859375","","","","","",""
"30720000","","","","","","","","","","","","","","","","","","","22","22","22","0.976171875","0.9619140625","0.98779296875","","","","","","","43","43","43","0.934375","0.9052734375","0.97265625","","","","","",""
"31744000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","0.9158203125","0.8759765625","0.9580078125","","","","","",""
"32768000","7","7","7","0.9913330078125","0.989990234375","0.9942626953125","7","7","7","0.9908935546875","0.9879150390625","0.9930419921875","7","7","7","0.98974609375","0.9881591796875","0.9910888671875","24","24","24","0.9703125","0.9482421875","0.98828125","13","13","13","0.98603515625","0.981689453125","0.989013671875","46","46","46","0.890625","0.8564453125","0.9501953125","7","7","7","0.98853759765625","0.986328125","0.99169921875"
"33792000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","47","47","0.872265625","0.82421875","0.953125","","","","","",""
"34816000","","","","","","","","","","","","","","","","","","","25","25","25","0.9662109375","0.94677734375","0.98193359375","","","","","","","49","49","49","0.8634765625","0.7734375","0.947265625","","","","","",""
"35840000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","0.8234375","0.744140625","0.923828125","","","","","",""
"36864000","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","0.98408203125","0.97900390625","0.990234375","52","52","52","0.804296875","0.6826171875","0.92578125","","","","","",""
"37888000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","53","53","0.765234375","0.61328125","0.9052734375","","","","","",""
"38912000","","","","","","","","","","","","","","","","","","","28","28","28","0.9498046875","0.9111328125","0.9873046875","","","","","","","54","54","54","0.713671875","0.576171875","0.8740234375","","","","","",""
"39936000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","0.71015625","0.537109375","0.861328125","","","","","",""
"40960000","8","8","8","0.99058837890625","0.98876953125","0.991943359375","8","8","8","0.9916015625","0.9910888671875","0.9920654296875","8","8","8","0.9894775390625","0.988037109375","0.99169921875","29","29","29","0.93623046875","0.888671875","0.9814453125","15","15","15","0.98193359375","0.976806640625","0.98828125","57","57","57","0.6615234375","0.4951171875","0.8486328125","8","8","8","0.98699951171875","0.9813232421875","0.99072265625"
"43008000","","","","","","","","","","","","","","","","","","","31","31","31","0.90673828125","0.84326171875","0.984375","","","","","","","60","60","60","0.595703125","0.4267578125","0.77734375","","","","","",""
"44032000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","61","61","0.514453125","0.3427734375","0.6689453125","","","","","",""
"45056000","","","","","","","","","","","","","","","","","","","32","32","32","0.87958984375","0.80224609375","0.9775390625","17","17","17","0.979150390625","0.968505859375","0.989013671875","63","63","63","0.4775390625","0.3212890625","0.6513671875","","","","","",""
"46080000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","64","64","0.459375","0.31640625","0.611328125","","","","","",""
"48128000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","67","67","0.4021484375","0.296875","0.5498046875","","","","","",""
"49152000","10","10","10","0.991162109375","0.9892578125","0.9925537109375","10","10","10","0.990478515625","0.98876953125","0.99267578125","10","10","10","0.9886474609375","0.9876708984375","0.98974609375","35","35","35","0.74755859375","0.5927734375","0.9775390625","18","18","18","0.97568359375","0.96875","0.9873046875","68","68","68","0.380078125","0.255859375","0.5439453125","10","10","10","0.9864013671875","0.9818115234375","0.9898681640625"
"50176000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","0.35390625","0.240234375","0.4794921875","","","","","",""
"51200000","","","","","","","","","","","","","","","","","","","36","36","36","0.6515625","0.5068359375","0.97021484375","","","","","","","71","71","71","0.3162109375","0.2333984375","0.388671875","","","","","",""
"52224000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","72","0.2865234375","0.2138671875","0.337890625","","","","","",""
"53248000","","","","","","","","","","","","","","","","","","","38","38","38","0.5990234375","0.4541015625","0.9638671875","","","","","","","73","73","73","0.284765625","0.2080078125","0.38671875","","","","","",""
"54272000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","74","74","0.2650390625","0.2001953125","0.333984375","","","","","",""
"55296000","","","","","","","","","","","","","","","","","","","39","39","39","0.52587890625","0.35400390625","0.9453125","","","","","","","76","76","76","0.24921875","0.2041015625","0.287109375","","","","","",""
"56320000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","0.2357421875","0.1767578125","0.318359375","","","","","",""
