"global_step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MAX","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MAX"
"214016000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","297","297","297","0.04140625","0.03515625","0.0439453125","","","","","",""
"215040000","","","","","","","","","","","","","","","","","","","149","149","149","0.05146484375","0.04345703125","0.05859375","","","","","","","299","299","299","0.043359375","0.0341796875","0.05078125","","","","","",""
"216064000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","300","300","0.0380859375","0.0302734375","0.04296875","","","","","",""
"217088000","","","","","","","","","","","","","","","","","","","150","150","150","0.04658203125","0.04150390625","0.05810546875","74","74","74","0.054248046875","0.04248046875","0.072998046875","302","302","302","0.050390625","0.033203125","0.0654296875","","","","","",""
"218112000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303","303","303","0.040234375","0.033203125","0.0478515625","","","","","",""
"219136000","","","","","","","","","","","","","","","","","","","151","151","151","0.04140625","0.033203125","0.0576171875","","","","","","","304","304","304","0.0451171875","0.0380859375","0.0546875","","","","","",""
"220160000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306","306","306","0.0404296875","0.0302734375","0.046875","","","","","",""
"221184000","39","39","39","0.98804931640625","0.9859619140625","0.991455078125","39","39","39","0.9562255859375","0.9364013671875","0.9661865234375","39","39","39","0.1468994140625","0.1148681640625","0.2347412109375","153","153","153","0.044921875","0.03662109375","0.05859375","76","76","76","0.058447265625","0.047119140625","0.069580078125","307","307","307","0.03671875","0.0263671875","0.0419921875","39","39","39","0.0775390625","0.048828125","0.1265869140625"
"223232000","","","","","","","","","","","","","","","","","","","154","154","154","0.04228515625","0.0322265625","0.0595703125","","","","","","","310","310","310","0.0373046875","0.0302734375","0.046875","","","","","",""
"224256000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","311","311","311","0.0390625","0.0341796875","0.046875","","","","","",""
"225280000","","","","","","","","","","","","","","","","","","","156","156","156","0.0509765625","0.0419921875","0.06103515625","77","77","77","0.050927734375","0.04150390625","0.06103515625","313","313","313","0.042578125","0.03515625","0.048828125","","","","","",""
"226304000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314","314","314","0.043359375","0.0361328125","0.0537109375","","","","","",""
"227328000","","","","","","","","","","","","","","","","","","","157","157","157","0.042578125","0.029296875","0.0634765625","","","","","","","","","","","","","","","","","",""
"228352000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317","317","317","0.0447265625","0.0302734375","0.0537109375","","","","","",""
"229376000","40","40","40","0.988818359375","0.9866943359375","0.990966796875","40","40","40","0.94365234375","0.911865234375","0.9705810546875","40","40","40","0.1367919921875","0.1107177734375","0.2020263671875","158","158","158","0.040625","0.037109375","0.04931640625","78","78","78","0.0513671875","0.03955078125","0.06005859375","318","318","318","0.039453125","0.03515625","0.0458984375","40","40","40","0.06968994140625","0.04833984375","0.1102294921875"
"230400000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320","320","320","0.039453125","0.033203125","0.0498046875","","","","","",""
"231424000","","","","","","","","","","","","","","","","","","","160","160","160","0.04453125","0.0380859375","0.0517578125","","","","","","","321","321","321","0.0380859375","0.033203125","0.0458984375","","","","","",""
"233472000","","","","","","","","","","","","","","","","","","","161","161","161","0.0404296875","0.03076171875","0.048828125","80","80","80","0.05068359375","0.04248046875","0.0634765625","324","324","324","0.0423828125","0.033203125","0.0517578125","","","","","",""
"234496000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","325","325","325","0.0369140625","0.0341796875","0.041015625","","","","","",""
"235520000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","327","327","327","0.0466796875","0.0390625","0.05078125","","","","","",""
"236544000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328","328","328","0.041015625","0.033203125","0.05078125","","","","","",""
"237568000","42","42","42","0.98780517578125","0.986083984375","0.9896240234375","42","42","42","0.9270751953125","0.8995361328125","0.952392578125","42","42","42","0.128857421875","0.1005859375","0.171142578125","164","164","164","0.0431640625","0.03515625","0.05810546875","81","81","81","0.0494140625","0.0380859375","0.06689453125","329","329","329","0.041796875","0.03125","0.0556640625","42","42","42","0.069580078125","0.0467529296875","0.1171875"
"238592000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331","331","331","0.040625","0.0341796875","0.0478515625","","","","","",""
"239616000","","","","","","","","","","","","","","","","","","","165","165","165","0.0390625","0.03271484375","0.0439453125","","","","","","","332","332","332","0.043359375","0.03515625","0.0517578125","","","","","",""
"240640000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","334","334","334","0.05078125","0.044921875","0.0556640625","","","","","",""
"241664000","","","","","","","","","","","","","","","","","","","167","167","167","0.0447265625","0.03564453125","0.0615234375","83","83","83","0.05859375","0.048828125","0.065673828125","335","335","335","0.0373046875","0.03515625","0.0400390625","","","","","",""
"242688000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336","336","336","0.037890625","0.029296875","0.0517578125","","","","","",""
"243712000","","","","","","","","","","","","","","","","","","","168","168","168","0.04658203125","0.0380859375","0.05908203125","","","","","","","338","338","338","0.035546875","0.029296875","0.0400390625","","","","","",""
"244736000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","339","339","339","0.038671875","0.0341796875","0.044921875","","","","","",""
"245760000","43","43","43","0.98818359375","0.985595703125","0.9906005859375","43","43","43","0.8998046875","0.8387451171875","0.940185546875","43","43","43","0.1138916015625","0.0899658203125","0.149169921875","","","","","","","84","84","84","0.048486328125","0.042236328125","0.05615234375","341","341","341","0.04609375","0.037109375","0.056640625","43","43","43","0.06317138671875","0.0472412109375","0.1009521484375"
"246784000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342","342","342","0.0396484375","0.0283203125","0.0498046875","","","","","",""
"247808000","","","","","","","","","","","","","","","","","","","171","171","171","0.0388671875","0.02783203125","0.05126953125","","","","","","","343","343","343","0.0427734375","0.0361328125","0.05078125","","","","","",""
"248832000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345","345","345","0.040234375","0.0322265625","0.046875","","","","","",""
"249856000","","","","","","","","","","","","","","","","","","","172","172","172","0.04296875","0.03759765625","0.05126953125","85","85","85","0.0453125","0.035400390625","0.057861328125","346","346","346","0.046484375","0.0439453125","0.0517578125","","","","","",""
"251904000","","","","","","","","","","","","","","","","","","","174","174","174","0.0435546875","0.03369140625","0.0576171875","","","","","","","349","349","349","0.0380859375","0.029296875","0.046875","","","","","",""
"252928000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","350","350","0.0404296875","0.033203125","0.0478515625","","","","","",""
"253952000","45","45","45","0.98804931640625","0.9859619140625","0.98974609375","45","45","45","0.8635498046875","0.758544921875","0.9354248046875","45","45","45","0.1115478515625","0.0860595703125","0.1328125","175","175","175","0.0396484375","0.037109375","0.04248046875","87","87","87","0.048681640625","0.041259765625","0.057373046875","352","352","352","0.0427734375","0.0322265625","0.046875","45","45","45","0.06627197265625","0.0548095703125","0.1051025390625"
"254976000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353","353","353","0.04375","0.0361328125","0.05078125","","","","","",""
"257024000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","356","356","356","0.04609375","0.0390625","0.05859375","","","","","",""
"258048000","","","","","","","","","","","","","","","","","","","178","178","178","0.04052734375","0.033203125","0.0546875","88","88","88","0.049365234375","0.0419921875","0.05810546875","357","357","357","0.03671875","0.0283203125","0.041015625","","","","","",""
"259072000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359","359","359","0.0392578125","0.0263671875","0.0458984375","","","","","",""
"260096000","","","","","","","","","","","","","","","","","","","179","179","179","0.0375","0.0283203125","0.0439453125","","","","","","","360","360","360","0.037109375","0.0322265625","0.041015625","","","","","",""
"261120000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361","361","361","0.040625","0.037109375","0.04296875","","","","","",""
"262144000","46","46","46","0.9878173828125","0.984375","0.990234375","46","46","46","0.8141357421875","0.693115234375","0.912841796875","46","46","46","0.10048828125","0.08349609375","0.1124267578125","181","181","181","0.051171875","0.04638671875","0.05517578125","","","","","","","362","362","362","0.0361328125","0.03125","0.041015625","46","46","46","0.0571533203125","0.0438232421875","0.0919189453125"
"263168000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363","363","363","0.0439453125","0.029296875","0.0517578125","","","","","",""
"264192000","","","","","","","","","","","","","","","","","","","182","182","182","0.04208984375","0.0390625","0.04736328125","","","","","","","365","365","365","0.0455078125","0.03515625","0.0537109375","","","","","",""
"265216000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","366","366","366","0.0412109375","0.037109375","0.048828125","","","","","",""
"266240000","","","","","","","","","","","","","","","","","","","183","183","183","0.04208984375","0.03662109375","0.0478515625","91","91","91","0.049462890625","0.0419921875","0.06005859375","367","367","367","0.0427734375","0.029296875","0.05078125","","","","","",""
"267264000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369","369","369","0.0400390625","0.033203125","0.046875","","","","","",""
"268288000","","","","","","","","","","","","","","","","","","","185","185","185","0.04228515625","0.0361328125","0.04736328125","","","","","","","370","370","370","0.0390625","0.0361328125","0.04296875","","","","","",""
"269312000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","372","372","372","0.04453125","0.041015625","0.0458984375","","","","","",""
"270336000","47","47","47","0.9881103515625","0.98681640625","0.9891357421875","47","47","47","0.751904296875","0.5848388671875","0.8873291015625","47","47","47","0.0841796875","0.0640869140625","0.1026611328125","186","186","186","0.04248046875","0.03759765625","0.05078125","92","92","92","0.045751953125","0.041748046875","0.052978515625","373","373","373","0.04375","0.0380859375","0.05078125","47","47","47","0.05572509765625","0.0447998046875","0.084716796875"
"271360000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374","374","374","0.043359375","0.033203125","0.0537109375","","","","","",""
"272384000","","","","","","","","","","","","","","","","","","","188","188","188","0.0513671875","0.04541015625","0.0615234375","","","","","","","376","376","376","0.0359375","0.03125","0.04296875","","","","","",""
"273408000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","377","377","377","0.041015625","0.0263671875","0.0498046875","","","","","",""
"274432000","","","","","","","","","","","","","","","","","","","189","189","189","0.0392578125","0.0263671875","0.05615234375","94","94","94","0.0455078125","0.03759765625","0.05322265625","","","","","","","","","","","",""
"275456000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380","380","380","0.03828125","0.0302734375","0.0439453125","","","","","",""
"276480000","","","","","","","","","","","","","","","","","","","190","190","190","0.04052734375","0.02490234375","0.0498046875","","","","","","","381","381","381","0.041015625","0.0380859375","0.0439453125","","","","","",""
"277504000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383","383","383","0.0423828125","0.0400390625","0.0439453125","","","","","",""
"278528000","49","49","49","0.986865234375","0.985595703125","0.98779296875","49","49","49","0.67998046875","0.424560546875","0.8631591796875","49","49","49","0.0824462890625","0.0638427734375","0.0946044921875","192","192","192","0.04296875","0.0361328125","0.0498046875","95","95","95","0.045849609375","0.036376953125","0.059326171875","384","384","384","0.0400390625","0.0322265625","0.0546875","49","49","49","0.0533447265625","0.0406494140625","0.073486328125"
"280576000","","","","","","","","","","","","","","","","","","","193","193","193","0.041015625","0.03076171875","0.04736328125","","","","","","","387","387","387","0.0384765625","0.03125","0.044921875","","","","","",""
"281600000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388","388","388","0.0390625","0.0302734375","0.0478515625","","","","","",""
"282624000","","","","","","","","","","","","","","","","","","","195","195","195","0.0455078125","0.04150390625","0.04931640625","","","","","","","390","390","390","0.04140625","0.033203125","0.0478515625","","","","","",""
"283648000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","391","391","391","0.04140625","0.0341796875","0.0458984375","","","","","",""
"284672000","","","","","","","","","","","","","","","","","","","196","196","196","0.04287109375","0.03662109375","0.05224609375","","","","","","","","","","","","","","","","","",""
"285696000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394","394","394","0.04375","0.0361328125","0.0537109375","","","","","",""
"286720000","50","50","50","0.98795166015625","0.986328125","0.989013671875","50","50","50","0.6001708984375","0.279296875","0.8050537109375","50","50","50","0.0803466796875","0.061767578125","0.0999755859375","197","197","197","0.04033203125","0.02880859375","0.05419921875","98","98","98","0.04375","0.03857421875","0.046875","395","395","395","0.0353515625","0.0322265625","0.0380859375","50","50","50","0.05224609375","0.0411376953125","0.0751953125"
"287744000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397","397","397","0.0466796875","0.044921875","0.048828125","","","","","",""
"288768000","","","","","","","","","","","","","","","","","","","202","202","202","0.03828125","0.03369140625","0.048828125","","","","","","","398","398","398","0.0380859375","0.033203125","0.0419921875","","","","","",""
"289792000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","399","399","399","0.0392578125","0.03125","0.05078125","","","","","",""
"290816000","","","","","","","","","","","","","","","","","","","203","203","203","0.04169921875","0.0341796875","0.05419921875","102","102","102","0.043896484375","0.036865234375","0.0537109375","401","401","401","0.03359375","0.0263671875","0.0439453125","","","","","",""
"291840000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402","402","402","0.040234375","0.0341796875","0.0439453125","","","","","",""
"292864000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","404","404","404","0.0443359375","0.037109375","0.0517578125","","","","","",""
"293888000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","405","405","405","0.0359375","0.0283203125","0.0439453125","","","","","",""
"294912000","52","52","52","0.9869384765625","0.984130859375","0.98876953125","52","52","52","0.5138671875","0.1873779296875","0.734619140625","52","52","52","0.077978515625","0.064208984375","0.0955810546875","206","206","206","0.03984375","0.03125","0.05126953125","104","104","104","0.043310546875","0.0361328125","0.0498046875","406","406","406","0.0388671875","0.0302734375","0.05078125","52","52","52","0.056884765625","0.049560546875","0.0748291015625"
"295936000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408","408","408","0.0380859375","0.0302734375","0.044921875","","","","","",""
"296960000","","","","","","","","","","","","","","","","","","","207","207","207","0.0412109375","0.037109375","0.0458984375","","","","","","","409","409","409","0.037890625","0.0263671875","0.046875","","","","","",""
"297984000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411","411","411","0.043359375","0.041015625","0.044921875","","","","","",""
"299008000","","","","","","","","","","","","","","","","","","","209","209","209","0.040234375","0.03173828125","0.0498046875","105","105","105","0.043212890625","0.033447265625","0.05419921875","412","412","412","0.036328125","0.029296875","0.0439453125","","","","","",""
"300032000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413","413","413","0.0427734375","0.0380859375","0.05078125","","","","","",""
"301056000","","","","","","","","","","","","","","","","","","","210","210","210","0.0412109375","0.03662109375","0.05712890625","","","","","","","415","415","415","0.038671875","0.0341796875","0.046875","","","","","",""
"302080000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416","416","416","0.0369140625","0.025390625","0.0458984375","","","","","",""
"303104000","53","53","53","0.9868408203125","0.9833984375","0.98974609375","53","53","53","0.4611572265625","0.1343994140625","0.7076416015625","53","53","53","0.0726806640625","0.055419921875","0.0888671875","","","","","","","","","","","","","","","","","","","53","53","53","0.05103759765625","0.042236328125","0.0699462890625"
"304128000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419","419","419","0.037109375","0.033203125","0.04296875","","","","","",""
"305152000","","","","","","","","","","","","","","","","","","","213","213","213","0.0400390625","0.03369140625","0.05126953125","","","","","","","420","420","420","0.0359375","0.0283203125","0.0400390625","","","","","",""
"306176000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","422","422","422","0.039453125","0.03125","0.048828125","","","","","",""
"307200000","","","","","","","","","","","","","","","","","","","214","214","214","0.04072265625","0.03466796875","0.04443359375","108","108","108","0.04228515625","0.034912109375","0.04638671875","423","423","423","0.0369140625","0.029296875","0.0458984375","","","","","",""
"309248000","","","","","","","","","","","","","","","","","","","216","216","216","0.0400390625","0.033203125","0.04638671875","","","","","","","426","426","426","0.036328125","0.0302734375","0.0458984375","","","","","",""
"310272000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427","427","427","0.0365234375","0.033203125","0.041015625","","","","","",""
"311296000","54","54","54","0.98587646484375","0.98388671875","0.9884033203125","54","54","54","0.40732421875","0.1260986328125","0.631591796875","54","54","54","0.06474609375","0.05029296875","0.08251953125","217","217","217","0.03798828125","0.02978515625","0.04833984375","109","109","109","0.041845703125","0.037353515625","0.04833984375","429","429","429","0.038671875","0.0322265625","0.046875","54","54","54","0.04727783203125","0.037353515625","0.065673828125"
"312320000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","430","430","0.0359375","0.0322265625","0.0419921875","","","","","",""
"313344000","","","","","","","","","","","","","","","","","","","221","221","221","0.0390625","0.033203125","0.04736328125","","","","","","","434","434","434","0.03671875","0.029296875","0.0419921875","","","","","",""
"314368000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","435","435","435","0.0365234375","0.025390625","0.0419921875","","","","","",""
"315392000","","","","","","","","","","","","","","","","","","","222","222","222","0.04013671875","0.03369140625","0.04638671875","111","111","111","0.050634765625","0.04248046875","0.05810546875","436","436","436","0.0384765625","0.03515625","0.044921875","","","","","",""
"316416000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","438","438","438","0.04453125","0.0390625","0.048828125","","","","","",""
"317440000","","","","","","","","","","","","","","","","","","","223","223","223","0.0419921875","0.0361328125","0.04833984375","","","","","","","439","439","439","0.0375","0.0322265625","0.04296875","","","","","",""
"318464000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","440","440","440","0.0384765625","0.03125","0.044921875","","","","","",""
"319488000","56","56","56","0.985205078125","0.98193359375","0.9910888671875","56","56","56","0.35205078125","0.1231689453125","0.5682373046875","56","56","56","0.0632080078125","0.0496826171875","0.0841064453125","225","225","225","0.04892578125","0.0419921875","0.05712890625","112","112","112","0.04501953125","0.037841796875","0.0546875","442","442","442","0.0380859375","0.033203125","0.0419921875","56","56","56","0.04810791015625","0.0374755859375","0.07177734375"
"320512000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","443","443","443","0.040625","0.0302734375","0.0498046875","","","","","",""
"321536000","","","","","","","","","","","","","","","","","","","226","226","226","0.0365234375","0.0263671875","0.052734375","","","","","","","445","445","445","0.04609375","0.037109375","0.0576171875","","","","","",""
"322560000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446","446","446","0.03671875","0.0322265625","0.041015625","","","","","",""
"323584000","","","","","","","","","","","","","","","","","","","227","227","227","0.03837890625","0.03369140625","0.04541015625","113","113","113","0.043994140625","0.035888671875","0.053466796875","447","447","447","0.0361328125","0.0322265625","0.0400390625","","","","","",""
"324608000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449","449","449","0.040625","0.0361328125","0.0458984375","","","","","",""
"325632000","","","","","","","","","","","","","","","","","","","229","229","229","0.04033203125","0.0322265625","0.04443359375","","","","","","","450","450","450","0.039453125","0.0341796875","0.044921875","","","","","",""
"327680000","57","57","57","0.98428955078125","0.9810791015625","0.9873046875","57","57","57","0.2889404296875","0.1129150390625","0.4827880859375","57","57","57","0.0617431640625","0.04296875","0.0804443359375","230","230","230","0.040625","0.03271484375","0.0458984375","115","115","115","0.041650390625","0.037841796875","0.05126953125","453","453","453","0.03515625","0.033203125","0.037109375","57","57","57","0.0479248046875","0.03662109375","0.06396484375"
"328704000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","454","454","454","0.033984375","0.0244140625","0.0390625","","","","","",""
"329728000","","","","","","","","","","","","","","","","","","","232","232","232","0.0431640625","0.0341796875","0.0537109375","","","","","","","456","456","456","0.0404296875","0.03515625","0.0458984375","","","","","",""
"330752000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","457","457","457","0.0345703125","0.025390625","0.041015625","","","","","",""
"331776000","","","","","","","","","","","","","","","","","","","233","233","233","0.037890625","0.03173828125","0.0478515625","116","116","116","0.04169921875","0.037841796875","0.04638671875","","","","","","","","","","","",""
"332800000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","460","460","0.0384765625","0.0322265625","0.04296875","","","","","",""
"333824000","","","","","","","","","","","","","","","","","","","234","234","234","0.03515625","0.02783203125","0.04345703125","","","","","","","461","461","461","0.0375","0.0302734375","0.048828125","","","","","",""
"334848000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","463","463","463","0.044921875","0.0380859375","0.05078125","","","","","",""
"335872000","","","","","","","","","","","","","","","","","","","236","236","236","0.04169921875","0.033203125","0.05859375","118","118","118","0.049462890625","0.045166015625","0.052734375","464","464","464","0.0388671875","0.03515625","0.0458984375","","","","","",""
"337920000","","","","","","","","","","","","","","","","","","","237","237","237","0.03955078125","0.03271484375","0.048828125","","","","","","","467","467","467","0.0361328125","0.033203125","0.041015625","","","","","",""
"338944000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","468","468","468","0.03984375","0.033203125","0.0439453125","","","","","",""
"339968000","","","","","","","","","","","","","","","","","","","","","","","","","119","119","119","0.041845703125","0.03759765625","0.04736328125","470","470","470","0.047265625","0.0390625","0.0625","","","","","",""
"340992000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","471","471","471","0.0369140625","0.0244140625","0.046875","","","","","",""
"342016000","","","","","","","","","","","","","","","","","","","240","240","240","0.0390625","0.03369140625","0.04345703125","","","","","","","472","472","472","0.041796875","0.03125","0.0576171875","","","","","",""
"343040000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","474","474","474","0.0328125","0.025390625","0.0439453125","","","","","",""
"344064000","60","60","60","0.9826904296875","0.9774169921875","0.9859619140625","60","60","60","0.2152587890625","0.1104736328125","0.3375244140625","60","60","60","0.0560791015625","0.0439453125","0.0714111328125","241","241","241","0.04267578125","0.03662109375","0.046875","120","120","120","0.0443359375","0.03955078125","0.051025390625","475","475","475","0.035546875","0.0322265625","0.0380859375","60","60","60","0.04720458984375","0.036376953125","0.0625"
"345088000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","477","477","477","0.0431640625","0.037109375","0.052734375","","","","","",""
"346112000","","","","","","","","","","","","","","","","","","","243","243","243","0.03779296875","0.0322265625","0.0419921875","","","","","","","478","478","478","0.0443359375","0.0390625","0.0498046875","","","","","",""
"347136000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479","479","479","0.0373046875","0.03125","0.048828125","","","","","",""
"348160000","","","","","","","","","","","","","","","","","","","244","244","244","0.03525390625","0.02783203125","0.04345703125","122","122","122","0.0390625","0.035888671875","0.04638671875","481","481","481","0.0380859375","0.0341796875","0.0498046875","","","","","",""
"349184000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","482","482","482","0.0380859375","0.029296875","0.044921875","","","","","",""
"350208000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.046484375","0.033203125","0.056640625","","","","","",""
"351232000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","485","485","485","0.0388671875","0.03125","0.0439453125","","","","","",""
"352256000","61","61","61","0.9806884765625","0.9766845703125","0.98583984375","61","61","61","0.190478515625","0.1019287109375","0.2894287109375","61","61","61","0.0554931640625","0.0413818359375","0.071533203125","247","247","247","0.03955078125","0.0283203125","0.044921875","123","123","123","0.041650390625","0.03759765625","0.046142578125","486","486","486","0.033984375","0.029296875","0.041015625","61","61","61","0.0449951171875","0.0361328125","0.061767578125"
"353280000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488","488","488","0.0337890625","0.0244140625","0.0400390625","","","","","",""
"354304000","","","","","","","","","","","","","","","","","","","248","248","248","0.03798828125","0.02978515625","0.04443359375","","","","","","","489","489","489","0.0369140625","0.03125","0.0419921875","","","","","",""
"356352000","","","","","","","","","","","","","","","","","","","250","250","250","0.03837890625","0.02880859375","0.0478515625","125","125","125","0.04921875","0.042236328125","0.05419921875","492","492","492","0.041796875","0.0341796875","0.0458984375","","","","","",""
"357376000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","493","493","493","0.0380859375","0.0283203125","0.0439453125","","","","","",""
